Column1,Column2,Column3,Column4
97.0,118.48,1.48,0.04
98.0,118.48,1.48,0.04
99.0,118.48,1.48,0.04
100.0,118.48,1.48,0.04
101.0,118.48,1.48,0.04
102.0,118.44,1.52,0.04
103.0,118.42,1.54,0.04
104.0,118.42,1.54,0.04
105.0,118.42,1.54,0.04
106.0,118.42,1.54,0.04
107.0,118.42,1.54,0.04
108.0,118.42,1.54,0.04
109.0,118.42,1.54,0.04
110.0,118.42,1.54,0.04
111.0,118.42,1.54,0.04
112.0,118.42,1.54,0.04
113.0,118.42,1.54,0.04
114.0,118.42,1.54,0.04
115.0,118.4,1.56,0.04
116.0,118.38,1.58,0.04
117.0,118.36,1.6,0.04
118.0,118.36,1.6,0.04
119.0,118.34,1.62,0.04
120.0,118.34,1.62,0.04
121.0,118.32,1.64,0.04
122.0,118.3,1.66,0.04
123.0,118.3,1.66,0.04
124.0,118.3,1.66,0.04
125.0,118.3,1.66,0.04
126.0,118.3,1.66,0.04
127.0,118.3,1.66,0.04
128.0,118.3,1.66,0.04
129.0,118.3,1.66,0.04
130.0,118.3,1.66,0.04
131.0,118.3,1.66,0.04
132.0,118.3,1.66,0.04
133.0,118.3,1.66,0.04
134.0,118.3,1.66,0.04
135.0,118.3,1.66,0.04
136.0,118.3,1.66,0.04
137.0,118.3,1.66,0.04
138.0,118.28,1.68,0.04
139.0,118.28,1.68,0.04
140.0,118.26,1.7,0.04
141.0,118.26,1.7,0.04
142.0,118.26,1.7,0.04
143.0,118.24,1.72,0.04
144.0,118.24,1.72,0.04
145.0,118.24,1.72,0.04
146.0,118.24,1.7,0.06
147.0,118.24,1.7,0.06
148.0,118.24,1.7,0.06
149.0,118.24,1.7,0.06
150.0,118.24,1.7,0.06
151.0,118.24,1.7,0.06
152.0,118.24,1.7,0.06
153.0,118.24,1.7,0.06
154.0,118.24,1.7,0.06
155.0,118.24,1.7,0.06
156.0,118.24,1.7,0.06
157.0,118.22,1.72,0.06
158.0,118.22,1.72,0.06
159.0,118.22,1.72,0.06
160.0,118.2,1.72,0.08
161.0,118.2,1.72,0.08
162.0,118.2,1.72,0.08
163.0,118.2,1.72,0.08
164.0,118.16,1.76,0.08
165.0,118.16,1.76,0.08
166.0,118.16,1.74,0.1
167.0,118.14,1.76,0.1
168.0,118.14,1.76,0.1
169.0,118.14,1.76,0.1
170.0,118.14,1.76,0.1
171.0,118.14,1.76,0.1
172.0,118.08,1.82,0.1
173.0,118.08,1.82,0.1
174.0,118.08,1.82,0.1
175.0,118.08,1.82,0.1
176.0,118.06,1.84,0.1
177.0,118.06,1.84,0.1
178.0,118.04,1.86,0.1
179.0,118.04,1.86,0.1
180.0,118.04,1.86,0.1
181.0,118.04,1.86,0.1
182.0,118.04,1.86,0.1
183.0,118.04,1.86,0.1
184.0,118.04,1.86,0.1
185.0,118.04,1.86,0.1
186.0,118.02,1.88,0.1
187.0,118.02,1.88,0.1
188.0,118.02,1.88,0.1
189.0,118.02,1.88,0.1
190.0,118.02,1.88,0.1
191.0,117.98,1.92,0.1
192.0,117.98,1.92,0.1
193.0,117.98,1.92,0.1
194.0,117.98,1.92,0.1
195.0,117.98,1.92,0.1
196.0,117.96,1.94,0.1
197.0,117.96,1.94,0.1
198.0,117.96,1.94,0.1
199.0,117.94,1.94,0.12
200.0,117.92,1.96,0.12
201.0,117.92,1.96,0.12
202.0,117.92,1.96,0.12
203.0,117.92,1.96,0.12
204.0,117.92,1.96,0.12
205.0,117.92,1.96,0.12
206.0,117.88,2.0,0.12
207.0,117.88,2.0,0.12
208.0,117.88,2.0,0.12
209.0,117.88,2.0,0.12
210.0,117.86,2.02,0.12
211.0,117.86,2.02,0.12
212.0,117.86,2.02,0.12
213.0,117.86,2.02,0.12
214.0,117.86,2.02,0.12
215.0,117.86,2.0,0.14
216.0,117.86,2.0,0.14
217.0,117.86,2.0,0.14
218.0,117.84,2.02,0.14
219.0,117.82,2.04,0.14
220.0,117.82,2.04,0.14
221.0,117.82,2.04,0.14
222.0,117.82,2.02,0.16
223.0,117.82,2.02,0.16
224.0,117.82,2.02,0.16
225.0,117.8,2.04,0.16
226.0,117.8,2.02,0.18
227.0,117.8,2.02,0.18
228.0,117.76,2.06,0.18
229.0,117.76,2.06,0.18
230.0,117.76,2.06,0.18
231.0,117.76,2.06,0.18
232.0,117.76,2.06,0.18
233.0,117.76,2.06,0.18
234.0,117.76,2.06,0.18
235.0,117.76,2.06,0.18
236.0,117.76,2.06,0.18
237.0,117.76,2.04,0.2
238.0,117.76,2.02,0.22
239.0,117.74,2.04,0.22
240.0,117.74,2.04,0.22
241.0,117.74,2.04,0.22
242.0,117.74,2.04,0.22
243.0,117.74,2.04,0.22
244.0,117.74,2.04,0.22
245.0,117.74,2.04,0.22
246.0,117.74,2.04,0.22
247.0,117.74,2.02,0.24
248.0,117.74,2.02,0.24
249.0,117.74,2.02,0.24
250.0,117.74,2.02,0.24
251.0,117.74,2.02,0.24
252.0,117.72,2.04,0.24
253.0,117.72,2.04,0.24
254.0,117.72,2.04,0.24
255.0,117.72,2.04,0.24
256.0,117.68,2.08,0.24
257.0,117.68,2.08,0.24
258.0,117.68,2.06,0.26
259.0,117.68,2.06,0.26
260.0,117.68,2.06,0.26
261.0,117.68,2.06,0.26
262.0,117.66,2.08,0.26
263.0,117.66,2.08,0.26
264.0,117.66,2.08,0.26
265.0,117.66,2.08,0.26
266.0,117.62,2.12,0.26
267.0,117.62,2.12,0.26
268.0,117.62,2.12,0.26
269.0,117.62,2.1,0.28
270.0,117.6,2.12,0.28
271.0,117.6,2.12,0.28
272.0,117.6,2.12,0.28
273.0,117.6,2.12,0.28
274.0,117.6,2.12,0.28
275.0,117.58,2.14,0.28
276.0,117.58,2.14,0.28
277.0,117.56,2.16,0.28
278.0,117.56,2.16,0.28
279.0,117.54,2.18,0.28
280.0,117.52,2.2,0.28
281.0,117.5,2.22,0.28
282.0,117.48,2.24,0.28
283.0,117.46,2.26,0.28
284.0,117.46,2.26,0.28
285.0,117.46,2.26,0.28
286.0,117.46,2.26,0.28
287.0,117.46,2.26,0.28
288.0,117.46,2.24,0.3
289.0,117.46,2.22,0.32
290.0,117.46,2.22,0.32
291.0,117.46,2.22,0.32
292.0,117.42,2.26,0.32
293.0,117.4,2.28,0.32
294.0,117.4,2.28,0.32
295.0,117.38,2.3,0.32
296.0,117.38,2.28,0.34
297.0,117.36,2.28,0.36
298.0,117.36,2.28,0.36
299.0,117.36,2.28,0.36
300.0,117.36,2.28,0.36
301.0,117.36,2.26,0.38
302.0,117.36,2.26,0.38
303.0,117.36,2.26,0.38
304.0,117.3,2.32,0.38
305.0,117.3,2.32,0.38
306.0,117.3,2.32,0.38
307.0,117.3,2.32,0.38
308.0,117.28,2.34,0.38
309.0,117.28,2.34,0.38
310.0,117.26,2.36,0.38
311.0,117.26,2.36,0.38
312.0,117.26,2.36,0.38
313.0,117.26,2.36,0.38
314.0,117.26,2.36,0.38
315.0,117.26,2.36,0.38
316.0,117.26,2.36,0.38
317.0,117.26,2.36,0.38
318.0,117.24,2.38,0.38
319.0,117.24,2.38,0.38
320.0,117.22,2.4,0.38
321.0,117.22,2.4,0.38
322.0,117.22,2.4,0.38
323.0,117.22,2.4,0.38
324.0,117.2,2.42,0.38
325.0,117.2,2.42,0.38
326.0,117.2,2.42,0.38
327.0,117.2,2.42,0.38
328.0,117.2,2.42,0.38
329.0,117.2,2.42,0.38
330.0,117.2,2.4,0.4
331.0,117.2,2.4,0.4
332.0,117.2,2.4,0.4
333.0,117.16,2.44,0.4
334.0,117.14,2.46,0.4
335.0,117.14,2.46,0.4
336.0,117.12,2.48,0.4
337.0,117.12,2.48,0.4
338.0,117.1,2.5,0.4
339.0,117.06,2.54,0.4
340.0,117.06,2.54,0.4
341.0,117.06,2.54,0.4
342.0,117.06,2.54,0.4
343.0,117.04,2.56,0.4
344.0,117.04,2.56,0.4
345.0,117.04,2.56,0.4
346.0,117.04,2.56,0.4
347.0,117.04,2.56,0.4
348.0,117.04,2.56,0.4
349.0,117.04,2.56,0.4
350.0,117.02,2.56,0.42
351.0,117.02,2.56,0.42
352.0,117.0,2.58,0.42
353.0,116.98,2.6,0.42
354.0,116.96,2.62,0.42
355.0,116.94,2.62,0.44
356.0,116.94,2.62,0.44
357.0,116.92,2.64,0.44
358.0,116.88,2.68,0.44
359.0,116.88,2.68,0.44
360.0,116.88,2.68,0.44
361.0,116.88,2.68,0.44
